brand,model_year,mileage_km,engine_size_l,transmission,fuel_type,num_owners,condition_score,price
BMW,2002,71324,2.7,Manual,Gasoline,4,4,8494
Honda,2014,190169,1.3,Manual,Diesel,4,5,8170
Toyota,2004,86720,3.0,Automatic,Gasoline,2,6,9162
Chevrolet,2013,101433,2.8,Automatic,Diesel,1,4,15965
Hyundai,2017,7889,4.1,Automatic,Diesel,3,6,24091
Ford,2015,14569,3.6,Manual,Gasoline,2,2,18000
BMW,2005,92193,2.8,Manual,Gasoline,3,7,12725
Chevrolet,2013,211749,1.9,Automatic,Diesel,2,3,3452
Ford,2007,90192,3.9,Automatic,Gasoline,3,10,10906
Ford,2006,92154,3.8,Automatic,Gasoline,4,4,12477
Toyota,2007,213542,1.6,Manual,Gasoline,3,9,4137
Ford,2012,113073,4.7,Automatic,Gasoline,1,5,14475
Hyundai,2005,224894,1.3,Automatic,Diesel,3,9,2851
Chevrolet,2017,12612,1.2,Automatic,Electric,1,10,17742
Ford,2001,56644,1.7,Manual,Diesel,3,10,11515
Toyota,2007,37069,4.6,Manual,Gasoline,4,10,17279
Hyundai,2010,86741,3.1,Automatic,Gasoline,3,10,13203
Honda,2000,163403,4.2,Manual,Diesel,2,6,7129
Chevrolet,2021,60897,1.9,Automatic,Gasoline,4,8,19715
Ford,2005,150006,3.0,Automatic,Diesel,4,5,6663
Toyota,2015,146167,2.4,Automatic,Electric,2,5,11169
Honda,2019,227566,4.3,Automatic,Gasoline,4,3,9072
Honda,2011,107544,1.1,Manual,Electric,4,7,9348
BMW,2010,23706,2.0,Automatic,Electric,2,2,14293
Hyundai,2009,179588,1.6,Automatic,Gasoline,4,3,6238
Ford,2002,108602,4.4,Manual,Gasoline,4,2,6998
Toyota,2012,233080,2.9,Automatic,Diesel,4,8,6776
BMW,2002,39629,2.6,Manual,Diesel,4,4,9584
Hyundai,2014,182982,2.8,Automatic,Gasoline,3,10,8874
BMW,2015,224612,4.9,Automatic,Diesel,4,8,11655
Chevrolet,2012,129746,4.4,Automatic,Electric,4,8,13707
Hyundai,2016,25431,3.8,Automatic,Electric,4,8,19709
Hyundai,2002,192805,2.2,Manual,Gasoline,3,8,4030
Ford,2019,45088,1.7,Automatic,Diesel,1,8,15828
Hyundai,2010,180207,4.7,Manual,Gasoline,4,9,7834
BMW,2020,174087,2.7,Manual,Electric,1,2,12035
Hyundai,2018,236110,2.1,Manual,Gasoline,1,9,8487
Ford,2021,36385,2.9,Automatic,Gasoline,2,8,22409
Ford,2010,75199,4.7,Manual,Gasoline,2,10,14184
Chevrolet,2015,43677,2.5,Manual,Gasoline,1,1,15203
BMW,2020,123104,3.3,Manual,Electric,3,5,18322
Honda,2002,17818,4.2,Automatic,Gasoline,4,2,10842
Honda,2021,224294,2.7,Automatic,Gasoline,4,10,13516
Hyundai,2005,68001,1.9,Manual,Diesel,4,5,10017
Chevrolet,2013,160049,5.0,Manual,Gasoline,2,8,11241
Toyota,2017,54832,4.8,Automatic,Diesel,2,9,17766
Hyundai,2016,45931,4.4,Manual,Gasoline,4,9,19129
Chevrolet,2003,88990,3.8,Manual,Diesel,1,1,10755
BMW,2022,214966,2.2,Manual,Gasoline,2,7,11624
BMW,2014,77204,4.7,Automatic,Diesel,4,8,18974
BMW,2010,50784,2.1,Manual,Gasoline,1,10,15837
BMW,2002,111305,4.2,Manual,Gasoline,4,3,10045
BMW,2002,14921,4.7,Automatic,Diesel,2,6,15749
Chevrolet,2015,39959,3.4,Manual,Gasoline,3,3,16635
Chevrolet,2004,37328,4.2,Automatic,Gasoline,3,9,15296
Ford,2020,144931,4.2,Automatic,Gasoline,2,3,20015
Honda,2009,94506,1.8,Automatic,Gasoline,1,2,12229
BMW,2018,79408,3.7,Manual,Electric,4,9,17354
Toyota,2003,128852,1.4,Manual,Gasoline,2,8,4597
Chevrolet,2018,220838,3.0,Manual,Electric,1,8,10485
Toyota,2010,31708,1.6,Manual,Electric,4,2,15256
Toyota,2001,23847,2.7,Manual,Gasoline,4,6,11464
Toyota,2009,60989,4.3,Manual,Diesel,2,5,12536
Ford,2010,228713,4.9,Manual,Diesel,4,2,8680
Chevrolet,2019,130383,2.3,Manual,Gasoline,3,5,16157
Toyota,2015,9922,3.1,Automatic,Electric,3,4,17248
BMW,2018,206000,3.0,Manual,Diesel,4,9,13021
Hyundai,2022,57335,4.8,Manual,Gasoline,2,1,21776
Toyota,2010,131913,2.9,Automatic,Gasoline,4,6,11379
Ford,2013,149613,3.8,Manual,Electric,2,7,13028
Chevrolet,2001,24551,4.7,Automatic,Diesel,2,6,13648
Ford,2022,155453,2.5,Manual,Gasoline,3,5,13929
Toyota,2004,118319,4.6,Manual,Diesel,3,4,10584
Chevrolet,2004,60673,4.7,Automatic,Gasoline,1,5,12758
Hyundai,2018,106531,4.7,Automatic,Gasoline,2,9,18432
Toyota,2020,27948,2.1,Manual,Gasoline,4,5,19156
Ford,2011,97264,2.6,Automatic,Electric,2,10,13527
Honda,2017,64072,4.5,Manual,Electric,3,8,19095
BMW,2003,72560,2.4,Manual,Electric,2,7,7467
Ford,2021,218321,3.4,Manual,Diesel,1,4,12957
Chevrolet,2016,138558,1.5,Manual,Electric,4,10,14232
Toyota,2009,71691,1.2,Manual,Electric,2,5,11936
BMW,2019,146154,2.6,Manual,Diesel,4,7,13651
Toyota,2005,107781,3.3,Automatic,Diesel,4,6,10327
Chevrolet,2013,89105,2.6,Automatic,Diesel,3,3,12125
Toyota,2010,12086,3.3,Automatic,Diesel,2,10,18801
Honda,2010,132818,3.1,Manual,Electric,4,3,12047
BMW,2017,72853,3.7,Automatic,Electric,3,2,17207
BMW,2022,106925,3.6,Manual,Diesel,1,3,18324
Chevrolet,2021,75027,2.7,Automatic,Electric,1,10,16948
Honda,2017,20916,2.7,Manual,Gasoline,2,1,19943
Ford,2022,20248,1.6,Manual,Electric,4,9,20562
Toyota,2010,204119,3.1,Manual,Gasoline,2,2,1547
Hyundai,2020,29226,3.3,Manual,Diesel,4,3,20900
Toyota,2011,161097,2.9,Manual,Diesel,3,5,9161
Toyota,2004,243922,2.3,Automatic,Electric,1,10,-379
Ford,2022,53380,3.9,Manual,Diesel,1,4,23114
Toyota,2008,12848,1.3,Automatic,Electric,1,5,12831
Honda,2008,19274,4.7,Manual,Electric,1,6,15414
Honda,2021,59545,1.1,Manual,Electric,2,5,19868
BMW,2009,101494,4.8,Manual,Electric,4,10,14571
Chevrolet,2021,120981,2.8,Automatic,Gasoline,2,1,13935
Hyundai,2018,171305,2.7,Manual,Gasoline,3,6,12250
Toyota,2000,21304,2.0,Automatic,Diesel,1,9,8806
Toyota,2006,16294,1.0,Manual,Gasoline,4,3,9510
Ford,2003,31425,2.1,Automatic,Diesel,2,2,8108
Chevrolet,2000,204783,1.4,Automatic,Diesel,4,6,1668
Honda,2014,242225,3.6,Automatic,Electric,2,3,5740
Hyundai,2007,115777,2.3,Manual,Electric,4,4,6984
BMW,2011,229383,4.1,Manual,Electric,4,6,6818
Honda,2021,145497,1.8,Automatic,Electric,1,6,19299
Chevrolet,2021,96549,4.6,Manual,Electric,2,2,19946
BMW,2017,98464,3.1,Manual,Electric,3,3,17158
Ford,2014,181062,1.5,Manual,Gasoline,4,9,6992
Ford,2016,111748,2.6,Automatic,Diesel,3,2,14608
Toyota,2013,209818,1.8,Automatic,Diesel,1,3,6639
Chevrolet,2013,73295,1.8,Manual,Electric,3,9,12668
Hyundai,2017,21091,3.0,Automatic,Gasoline,4,4,18950
BMW,2019,124943,3.7,Manual,Electric,4,1,14307
Honda,2017,136074,4.6,Manual,Gasoline,4,2,15300
Chevrolet,2015,55411,3.0,Automatic,Gasoline,2,3,16136
Chevrolet,2000,177030,4.9,Automatic,Diesel,3,9,4208
Ford,2022,100696,4.8,Manual,Diesel,2,9,19712
Toyota,2010,156779,4.5,Manual,Gasoline,4,6,12533
Toyota,2014,151320,3.0,Manual,Diesel,4,6,9259
BMW,2011,76309,1.6,Automatic,Gasoline,1,3,11024
Ford,2007,214394,1.9,Automatic,Gasoline,1,5,4365
Chevrolet,2021,187792,3.6,Manual,Gasoline,4,4,12433
Hyundai,2019,151109,2.7,Manual,Diesel,2,10,16676
Ford,2005,72421,1.6,Automatic,Electric,2,10,12292
BMW,2002,241436,2.9,Manual,Diesel,4,9,3647
BMW,2012,217939,1.1,Automatic,Electric,3,9,6915
Ford,2012,45612,3.9,Automatic,Diesel,2,1,18173
BMW,2001,224103,1.3,Manual,Diesel,4,8,-57
Ford,2004,18450,3.5,Manual,Electric,1,9,12846
Honda,2016,14491,4.2,Automatic,Gasoline,4,5,19460
Ford,2005,122026,1.5,Manual,Electric,2,4,3696
Ford,2001,79804,3.1,Automatic,Gasoline,4,10,8411
BMW,2003,98293,4.1,Automatic,Gasoline,3,4,9005
BMW,2021,124498,2.0,Automatic,Diesel,3,2,14634
Toyota,2010,243515,1.7,Manual,Diesel,2,9,8969
Toyota,2007,142863,2.3,Manual,Diesel,4,5,6205
Honda,2011,110475,3.2,Manual,Diesel,3,3,11537
Toyota,2007,33314,3.3,Automatic,Diesel,3,6,18543
Ford,2010,56883,1.5,Automatic,Electric,1,9,11679
BMW,2021,230191,2.8,Automatic,Electric,2,9,9131
Toyota,2019,92086,2.1,Automatic,Electric,1,5,15614
Toyota,2007,201701,4.4,Manual,Electric,1,8,5732
Honda,2007,106291,2.3,Manual,Diesel,3,4,11570
Chevrolet,2016,247223,4.4,Manual,Electric,4,5,9339
Honda,2019,14967,2.7,Automatic,Electric,1,7,18464
Ford,2019,217826,3.9,Automatic,Gasoline,2,7,12347
BMW,2022,48220,3.0,Manual,Diesel,2,7,21176
Honda,2015,210235,3.5,Automatic,Electric,4,8,7041
Toyota,2013,141019,2.6,Manual,Electric,2,5,11941
BMW,2010,175491,4.1,Automatic,Electric,1,1,9924
BMW,2006,61131,2.7,Automatic,Diesel,4,9,9351
Toyota,2015,224786,2.8,Automatic,Electric,2,9,6037
Honda,2012,33876,3.1,Automatic,Gasoline,2,7,15906
Toyota,2014,224516,4.3,Automatic,Diesel,1,6,7930
Chevrolet,2015,106448,3.6,Manual,Gasoline,1,5,15970
BMW,2020,156043,2.4,Manual,Diesel,1,5,12732
Hyundai,2022,198611,3.7,Manual,Electric,1,3,13217
Hyundai,2008,234192,3.6,Automatic,Diesel,4,10,3273
Ford,2002,54228,4.7,Manual,Diesel,4,1,13485
Toyota,2018,79495,4.4,Manual,Diesel,4,6,17006
Toyota,2019,33261,3.6,Automatic,Gasoline,3,8,18673
Ford,2004,111601,2.4,Automatic,Diesel,1,2,7623
Ford,2009,66260,4.1,Manual,Electric,1,8,16734
Ford,2016,241070,3.3,Manual,Diesel,4,8,9452
BMW,2014,217443,4.9,Manual,Diesel,2,10,9398
Chevrolet,2022,220865,2.0,Manual,Electric,2,8,10446
Toyota,2007,139418,1.3,Manual,Electric,1,10,4630
BMW,2014,232415,1.3,Automatic,Gasoline,1,3,9328
Ford,2020,232026,3.6,Manual,Electric,4,10,14602
Toyota,2013,61176,4.8,Manual,Electric,1,8,18117
BMW,2019,57300,1.0,Manual,Electric,2,4,16510
Chevrolet,2006,147412,3.9,Manual,Diesel,2,3,6077
BMW,2020,38012,3.6,Manual,Gasoline,1,9,20807
Chevrolet,2022,171465,3.9,Manual,Electric,4,8,17409
Ford,2011,107153,2.4,Automatic,Electric,4,10,13500
Chevrolet,2016,211205,4.3,Automatic,Electric,2,2,9538
Toyota,2016,161629,1.2,Automatic,Diesel,4,8,12020
Ford,2009,200276,4.0,Manual,Diesel,2,3,9600
Toyota,2018,78273,2.1,Manual,Gasoline,1,10,16755
Hyundai,2013,117328,2.9,Automatic,Gasoline,2,6,14597
Honda,2010,115304,4.3,Manual,Diesel,1,5,15835
Chevrolet,2001,111637,2.1,Manual,Electric,4,8,10148
Honda,2017,153348,1.7,Manual,Electric,3,9,10731
Honda,2006,59639,3.7,Automatic,Gasoline,3,7,13804
Chevrolet,2011,126939,3.1,Automatic,Electric,3,6,12759
Ford,2001,12310,3.1,Automatic,Diesel,2,6,12046
Hyundai,2019,171239,2.0,Manual,Gasoline,3,1,14025
Toyota,2017,107944,1.1,Automatic,Diesel,2,5,13314
BMW,2005,220952,2.6,Automatic,Diesel,4,8,3046
Toyota,2009,146463,1.4,Automatic,Electric,1,6,5047
BMW,2019,127013,4.6,Manual,Diesel,3,1,12969
Toyota,2014,186693,1.2,Automatic,Diesel,2,5,7165
Chevrolet,2004,146964,2.7,Automatic,Electric,4,5,550
Hyundai,2019,81733,1.2,Manual,Diesel,4,3,17902
BMW,2002,214658,1.4,Automatic,Electric,3,8,2744
Ford,2004,172214,3.6,Manual,Diesel,4,9,7768
Toyota,2007,181751,3.6,Manual,Electric,4,6,9338
Toyota,2007,177687,1.1,Automatic,Electric,4,6,4264
BMW,2007,183625,1.0,Automatic,Gasoline,2,2,4461
Ford,2011,114264,1.3,Automatic,Diesel,4,10,9844
Ford,2022,84071,4.1,Manual,Diesel,4,2,21814
Chevrolet,2007,177074,3.3,Automatic,Gasoline,4,6,1942
Chevrolet,2010,244879,1.2,Automatic,Electric,4,8,5473
Chevrolet,2013,127611,3.0,Automatic,Electric,4,2,8177
Chevrolet,2007,75658,3.8,Manual,Gasoline,2,9,12504
Chevrolet,2009,14852,4.5,Manual,Gasoline,4,9,15558
Chevrolet,2006,10387,4.7,Manual,Electric,4,4,15808
Hyundai,2016,132571,2.3,Automatic,Electric,1,4,11465
Ford,2003,102295,1.5,Automatic,Gasoline,4,4,6015
Chevrolet,2012,135381,1.9,Manual,Diesel,4,5,11225
Ford,2003,242007,4.1,Automatic,Electric,2,8,3249
Ford,2004,44994,4.9,Automatic,Gasoline,4,2,15348
Honda,2021,239484,2.9,Manual,Diesel,2,5,11262
Hyundai,2003,121912,2.2,Manual,Diesel,3,2,3126
Chevrolet,2017,236486,2.7,Manual,Diesel,4,8,13378
Toyota,2005,169797,2.2,Automatic,Diesel,1,1,838
BMW,2022,208754,2.0,Automatic,Gasoline,2,7,12391
Toyota,2021,136632,3.4,Automatic,Electric,3,3,17340
Hyundai,2001,129210,1.1,Manual,Diesel,1,4,4624
BMW,2022,61565,2.0,Manual,Diesel,2,8,18821
Hyundai,2010,6312,3.6,Automatic,Gasoline,3,3,20057
Ford,2013,154277,1.1,Manual,Diesel,1,7,11332
BMW,2004,130882,1.3,Manual,Gasoline,4,1,5313
Ford,2005,147667,2.2,Automatic,Gasoline,1,9,5818
Toyota,2009,92566,4.5,Manual,Electric,1,6,11836
Toyota,2007,26329,4.1,Automatic,Diesel,1,3,13608
BMW,2013,239750,1.1,Manual,Electric,2,7,4692
BMW,2002,73187,3.0,Automatic,Gasoline,4,5,6029
Chevrolet,2011,80542,2.1,Manual,Diesel,4,8,12859
Hyundai,2015,113237,3.6,Automatic,Gasoline,2,8,16344
Chevrolet,2022,119476,3.9,Manual,Gasoline,1,9,17200
Hyundai,2016,40645,4.5,Manual,Gasoline,4,6,19522
Chevrolet,2000,92502,2.9,Manual,Diesel,1,4,7789
Ford,2022,229454,5.0,Manual,Gasoline,4,2,14196
BMW,2009,92310,4.9,Manual,Gasoline,2,3,13184
Toyota,2022,74619,4.5,Automatic,Diesel,3,5,24290
Hyundai,2009,38513,3.3,Automatic,Electric,1,8,15181
Hyundai,2020,13749,2.6,Automatic,Gasoline,4,10,18753
Toyota,2001,166855,2.5,Manual,Electric,4,2,2586
Chevrolet,2008,65645,1.0,Automatic,Electric,4,5,13314
Hyundai,2021,218933,2.0,Manual,Electric,2,9,13392
Ford,2012,58175,3.9,Manual,Electric,2,2,12251
BMW,2015,220288,3.4,Automatic,Electric,3,8,8590
Toyota,2017,198781,4.7,Automatic,Electric,2,3,11005
BMW,2018,153395,1.2,Manual,Diesel,1,8,13388
Hyundai,2011,55762,1.6,Manual,Diesel,2,4,10935
Hyundai,2007,224292,4.2,Automatic,Electric,4,4,8505
Toyota,2016,69222,2.4,Automatic,Diesel,1,7,13199
Ford,2014,170565,1.5,Manual,Diesel,2,5,8691
Honda,2009,194400,5.0,Manual,Electric,1,4,6270
Toyota,2014,17213,4.1,Automatic,Electric,1,7,20753
Honda,2014,102367,2.6,Manual,Gasoline,2,3,9165
Chevrolet,2022,243904,4.3,Manual,Diesel,1,9,12161
Honda,2006,183002,3.7,Automatic,Electric,4,5,6167
Ford,2012,163785,4.2,Automatic,Diesel,4,3,9018
Chevrolet,2016,112157,4.3,Manual,Diesel,2,2,17829
Honda,2008,208795,1.3,Manual,Diesel,2,7,7467
Chevrolet,2007,234408,3.5,Automatic,Gasoline,4,7,3673
Honda,2019,37583,1.0,Manual,Electric,2,5,17879
Ford,2020,133792,1.2,Automatic,Diesel,4,4,12175
Honda,2017,249269,4.6,Manual,Electric,1,2,6810
Honda,2012,84944,3.1,Automatic,Diesel,2,2,11317
Honda,2015,27369,3.9,Manual,Electric,3,7,17049
Toyota,2008,184000,4.4,Manual,Electric,4,10,11198
Toyota,2011,205022,4.8,Manual,Electric,4,7,10108
Toyota,2011,120844,4.5,Automatic,Diesel,1,4,10951
Ford,2005,24510,2.9,Automatic,Gasoline,3,4,11346
Chevrolet,2018,17120,2.3,Automatic,Electric,3,4,17349
Hyundai,2006,104847,1.6,Manual,Gasoline,3,2,4300
Honda,2002,103575,2.6,Manual,Electric,4,9,8859
Honda,2015,134269,2.5,Automatic,Gasoline,4,1,11632
Ford,2017,10295,3.2,Automatic,Electric,3,8,23904
Honda,2015,25460,3.7,Manual,Gasoline,2,6,14859
Toyota,2022,19963,4.9,Manual,Electric,3,10,26098
Hyundai,2006,82116,3.9,Manual,Electric,1,7,13868
BMW,2003,223894,3.6,Manual,Gasoline,3,5,5042
Honda,2007,32328,2.3,Automatic,Electric,3,6,13774
Toyota,2012,89629,1.1,Automatic,Diesel,3,6,13564
BMW,2012,129034,2.2,Manual,Electric,2,9,11759
Hyundai,2016,26605,4.1,Manual,Electric,3,10,18772
BMW,2016,115901,1.8,Manual,Diesel,3,4,12102
Toyota,2004,180885,3.8,Automatic,Diesel,4,5,4899
Chevrolet,2005,182443,3.3,Automatic,Diesel,3,4,7905
Chevrolet,2018,113241,1.7,Manual,Gasoline,1,1,16196
BMW,2012,52598,2.0,Manual,Diesel,4,10,16499
Ford,2013,196848,3.0,Manual,Gasoline,2,6,8880
BMW,2021,77258,2.7,Manual,Diesel,4,5,14222
Honda,2003,45969,4.1,Manual,Gasoline,2,4,13848
Honda,2006,172984,3.9,Manual,Diesel,2,6,8914
Chevrolet,2007,174446,3.3,Automatic,Diesel,1,5,7647
Ford,2012,208374,4.3,Automatic,Electric,3,3,9639
Toyota,2005,67784,3.3,Automatic,Diesel,1,2,9487
Honda,2005,185954,4.9,Manual,Electric,4,6,6515
Chevrolet,2020,152000,1.9,Manual,Diesel,2,4,11558
Hyundai,2002,26274,3.9,Manual,Diesel,4,10,12775
Chevrolet,2002,134994,2.5,Automatic,Electric,2,3,7304
Honda,2012,39416,2.1,Manual,Electric,4,8,16306
Honda,2021,222220,1.7,Automatic,Gasoline,2,9,8400
Chevrolet,2001,197070,3.2,Manual,Electric,1,7,6710
Toyota,2015,105434,1.9,Manual,Gasoline,2,2,13174
BMW,2021,248768,1.8,Manual,Diesel,3,8,7813
Honda,2005,165119,5.0,Automatic,Electric,1,5,7641
Chevrolet,2007,179428,4.2,Automatic,Electric,3,10,7118
Chevrolet,2022,173206,4.0,Automatic,Diesel,4,7,15992
Ford,2007,203114,4.2,Manual,Diesel,4,5,3898
BMW,2005,56310,4.9,Automatic,Diesel,2,2,13873
Hyundai,2013,85758,3.3,Manual,Diesel,2,4,16092
Toyota,2002,148435,1.9,Manual,Electric,4,5,5797
Hyundai,2009,221221,4.4,Automatic,Diesel,1,6,7468
BMW,2002,180635,4.0,Automatic,Diesel,3,5,6119
BMW,2011,35628,2.7,Manual,Electric,4,10,16703
BMW,2016,244234,2.9,Manual,Gasoline,1,1,9381
Hyundai,2004,246992,2.6,Manual,Electric,3,1,371
BMW,2019,74672,4.7,Manual,Gasoline,2,3,17439
Chevrolet,2008,51246,2.4,Automatic,Diesel,1,9,13969
Hyundai,2020,147233,4.9,Automatic,Electric,1,2,18405
BMW,2019,237065,4.6,Automatic,Diesel,4,10,10965
